C/A,UNIT,STATION,LINENAME,DIVISION,LATITUDE,LONGITUDE,STREET,CITY,STATE,COUNTY,ZIP
R316,N414,,G,IND,40.700374,-73.950284,Wallabout St,Brooklyn,NY,Kings County,11206
R316,N414A,,G,IND,40.700374,-73.950284,Wallabout St,Brooklyn,NY,Kings County,11206
R451,R637,,25,IRT,40.656648,-73.950198,Nostrand Ave,Brooklyn,NY,Kings County,11225
R360,N401,,G,IND,40.743973,-73.949876,Jackson Ave,Long Island City,NY,Queens County,11101
R324,R303,,23,IRT,40.802098,-73.949625,Lenox Ave,New York,NY,New York County,10026
R324,R302,,23,IRT,40.802098,-73.949625,Lenox Ave,New York,NY,New York County,10026
R109,R639,,25,IRT,40.650843,-73.949575,Nostrand Ave,Brooklyn,NY,Kings County,11226
R286,N415,,G,IND,40.694568,-73.949046,Marcy Ave,Brooklyn,NY,Kings County,11206
R286,N416,,G,IND,40.694568,-73.949046,Marcy Ave,Brooklyn,NY,Kings County,11206
R210,R641,,25,IRT,40.645089,-73.948975,Nostrand Ave,Brooklyn,NY,Kings County,11226
R134,R507,,7,IRT,40.74238,-73.948889,49th Ave,Long Island City,NY,Queens County,11101
R135,R643,,25,IRT,40.639961,-73.948352,Newkirk Ave,Brooklyn,NY,Kings County,11226
R135,R644,,25,IRT,40.639961,-73.948352,Newkirk Ave,Brooklyn,NY,Kings County,11226
R332,N024,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R332,N023,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R332,N022,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R110,R645,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R110,R646,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R110,R647,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R180,R252,,6,IRT,40.790582,-73.947473,Lexington Ave,New York,NY,New York County,10029
R353,J005,,JM,BMT,40.703855,-73.947387,Broadway,Brooklyn,NY,Kings County,11206
R206,R304,,23,IRT,40.808076,-73.945906,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10027
R206,R305,,23,IRT,40.808076,-73.945906,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10027
R346,R508,,7,IRT,40.747029,-73.94537,23rd St,Long Island City,NY,Queens County,11101
R359,N307,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R359,N400,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R359,N400A,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R193,R180,,1,IRT,40.833879,-73.944726,W 157th St,New York,NY,New York County,10032
R193,R179,,1,IRT,40.833879,-73.944726,W 157th St,New York,NY,New York County,10032
R181,R253,,6,IRT,40.795066,-73.944297,Lexington Ave,New York,NY,New York County,10029
R181,R254,,6,IRT,40.795066,-73.944297,Lexington Ave,New York,NY,New York County,10029
R101,N020,,ABCD,IND,40.824787,-73.944232,Saint Nicholas Ave,New York,NY,New York County,10031
R101,N019,,ABCD,IND,40.824787,-73.944232,Saint Nicholas Ave,New York,NY,New York County,10031
R249,H014,,L,BMT,40.71459,-73.944104,Metropolitan Ave,Brooklyn,NY,Kings County,11211
R249,H013,,L,BMT,40.71459,-73.944104,Metropolitan Ave,Brooklyn,NY,Kings County,11211
R303,N603,,F,IND,40.7541,-73.94258,41st Ave,Long Island City,NY,Queens County,11101
R124,R624,,3,IRT,40.669409,-73.942173,Eastern Pkwy,Brooklyn,NY,Kings County,11213
R377,J007,,JM,BMT,40.700244,-73.941658,Broadway,Brooklyn,NY,Kings County,11206
R182,R256,,6,IRT,40.798574,-73.941593,E 116th St,New York,NY,New York County,10029
R182,R257,,6,IRT,40.798574,-73.941593,E 116th St,New York,NY,New York County,10029
R331,N017,,C,IND,40.830551,-73.941486,Saint Nicholas Ave,New York,NY,New York County,10032
R207,R306,,23,IRT,40.814459,-73.940992,W 135th St,New York,NY,New York County,10030
R207,R307,,23,IRT,40.814459,-73.940992,W 135th St,New York,NY,New York County,10030
R199,N119,,C,IND,40.679921,-73.940858,Fulton St,Brooklyn,NY,Kings County,11216
R199,N118,,C,IND,40.679921,-73.940858,Fulton St,Brooklyn,NY,Kings County,11216
R250,H016,,L,BMT,40.711874,-73.94067,Bushwick Ave,Brooklyn,NY,Kings County,11206
R250,H015,,L,BMT,40.711874,-73.94067,Bushwick Ave,Brooklyn,NY,Kings County,11206
R121,R509,,7NQ,IRT,40.750508,-73.940177,Queens Plz S,Long Island City,NY,Queens County,11101
R035,N012,,1AC,IND,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R035,N013,,AC1,IND,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R035,R182,,1AC,IRT,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R265,H017,,L,BMT,40.707889,-73.940005,Bushwick Ave,Brooklyn,NY,Kings County,11206
R296,N016A,,C,IND,40.835957,-73.939898,St Nicholas Ave,New York,NY,New York County,10032
R126,N010,,A,IND,40.847369,-73.939683,Fort Washington Ave,New York,NY,New York County,10033
R126,N011,,A,IND,40.847369,-73.939683,Fort Washington Ave,New York,NY,New York County,10033
R315,N202,,BD,IND,40.829934,-73.938632,W 155th St,New York,NY,New York County,10032
R174,N007A,,A,IND,40.851686,-73.937967,Fort Washington Ave,New York,NY,New York County,10033
R174,N009,,A,IND,40.851686,-73.937967,Fort Washington Ave,New York,NY,New York County,10033
R132,R258,,456,IRT,40.804406,-73.937452,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10035
R140,N309A,,EMR,IND,40.748948,-73.937194,Queens Blvd,Long Island City,NY,Queens County,11101
R140,N310,,EMR,IND,40.748948,-73.937194,Queens Blvd,Long Island City,NY,Queens County,11101
R345,R309,,3,IRT,40.823877,-73.936443,7th Ave,New York,NY,New York County,10039
R344,R308,,3,IRT,40.820402,-73.936315,Esplanade Gardens Plz,New York,NY,New York County,10027
R378,J009,,JMZ,BMT,40.697266,-73.935692,Broadway,Brooklyn,NY,Kings County,11206
R280,N006A,,A,IND,40.859022,-73.93419,Fort Washington Ave,New York,NY,New York County,10040
R260,R183,,1,IRT,40.849495,-73.933632,St Nicholas Ave,New York,NY,New York County,10033
R294,H019,,L,BMT,40.706148,-73.93316,Harrison Pl,Brooklyn,NY,Kings County,11206
R062,R626,,34,IRT,40.669279,-73.932967,Eastern Pkwy,Brooklyn,NY,Kings County,11213
R062,R625,,34,IRT,40.669279,-73.932967,Eastern Pkwy,Brooklyn,NY,Kings County,11213
R090,R510,,NQ,BMT,40.753076,-73.93271,31st St,Long Island City,NY,Queens County,11101
R291,R516,,7,IRT,40.744558,-73.930993,Queens Blvd,Long Island City,NY,Queens County,11101
R291,R517,,7,IRT,40.744558,-73.930993,Queens Blvd,Long Island City,NY,Queens County,11101
R153,N120,,AC,IND,40.679279,-73.930585,Fulton St,Brooklyn,NY,Kings County,11233
R153,N120A,,AC,IND,40.679279,-73.930585,Fulton St,Brooklyn,NY,Kings County,11233
R307,R259,,45,IRT,40.813208,-73.929877,Grand Concourse,Bronx,NY,Bronx County,10451
R274,R185,,1,IRT,40.855176,-73.929384,St Nicholas Ave,New York,NY,New York County,10040
R091,R511,,NQ,BMT,40.756977,-73.929373,31st St,Astoria,NY,Queens County,11106
R379,J012,,J,BMT,40.693329,-73.928826,Broadway,Brooklyn,NY,Kings County,11221
R339,N312,,MR,IND,40.75202,-73.92874,Northern Blvd,Long Island City,NY,Queens County,11101
R339,N311,,MR,IND,40.75202,-73.92874,Northern Blvd,Long Island City,NY,Queens County,11101
R401,K017,,M,BMT,40.697673,-73.927131,Myrtle Ave,Brooklyn,NY,Kings County,11221
R185,N003,,A,IND,40.865286,-73.92698,Dyckman St,New York,NY,New York County,10040
R205,R261,,245,IRT,40.818429,-73.926927,E 149th St,Bronx,NY,Bronx County,10451
R205,R260,,245,IRT,40.818429,-73.926927,E 149th St,Bronx,NY,Bronx County,10451
R445,R401,,6,IRT,40.810512,-73.926165,E 138th St,Bronx,NY,Bronx County,10454
R195,N203,,BD4,IND,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R195,N204,,BD4,IND,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R195,N205,,BD4,IND,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R195,R262,,BD4,IRT,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R195,R262A,,4BD,IRT,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R195,R262B,,4BD,IRT,40.827888,-73.925736,E 161st St,Bronx,NY,Bronx County,10451
R036,R186,,1,IRT,40.860523,-73.925575,Fort George Hl,New York,NY,New York County,10040
R092,R512,,NQ,BMT,40.761959,-73.925382,31st St,Astoria,NY,Queens County,11106
R261,R518,,7,IRT,40.743778,-73.923998,Queens Blvd,Sunnyside,NY,Queens County,11104
R279,H022,,L,BMT,40.706636,-73.922925,Wyckoff Ave,Brooklyn,NY,Kings County,11237
R063,R627,,3,IRT,40.664591,-73.922668,E 98th St,Brooklyn,NY,Kings County,11212
R380,J013,,JZ,BMT,40.689652,-73.922281,Broadway,Brooklyn,NY,Kings County,11221
R093,R513,,NQ,BMT,40.766843,-73.921423,31st St,Astoria,NY,Queens County,11102
R221,R283,,4,IRT,40.835535,-73.92138,River Ave,Bronx,NY,Bronx County,10452
R438,N121B,,C,IND,40.678815,-73.920801,Fulton St,Brooklyn,NY,Kings County,11233
R238,N315,,MR,IND,40.756864,-73.920736,Steinway St,Astoria,NY,Queens County,11103
R238,N314,,MR,IND,40.756864,-73.920736,Steinway St,Astoria,NY,Queens County,11103
R173,N002A,,A,IND,40.868045,-73.919921,Broadway,New York,NY,New York County,10034
R173,N001,,A,IND,40.868045,-73.919921,Broadway,New York,NY,New York County,10034
R413,K019,,M,BMT,40.698666,-73.919685,Myrtle Ave,Brooklyn,NY,Kings County,11237
R446,R402,,6,IRT,40.808044,-73.919234,Brook Ave,Bronx,NY,Bronx County,10454
R446,R403,,6,IRT,40.808044,-73.919234,Brook Ave,Bronx,NY,Bronx County,10454
R037,R188,,1,IRT,40.864653,-73.918719,10th Ave,New York,NY,New York County,10034
R236,H023,,L,BMT,40.703839,-73.91844,Wyckoff Ave,Brooklyn,NY,Kings County,11237
R104,N207,,BD,IND,40.833773,-73.91843,Grand Concourse,Bronx,NY,Bronx County,10452
R104,N206,,BD,IND,40.833773,-73.91843,Grand Concourse,Bronx,NY,Bronx County,10452
R223,R519,,7,IRT,40.743079,-73.918419,Queens Blvd,Sunnyside,NY,Queens County,11104
R223,R520,,7,IRT,40.743079,-73.918419,Queens Blvd,Sunnyside,NY,Queens County,11104
R243,R284,,4,IRT,40.840048,-73.917775,Jerome Ave,Bronx,NY,Bronx County,10452
R053,R311,,25,IRT,40.816132,-73.917754,Melrose Ave,Bronx,NY,Bronx County,10455
R053,R310,,25,IRT,40.816132,-73.917754,Melrose Ave,Bronx,NY,Bronx County,10455
R094,R514,,NQ,BMT,40.770426,-73.917614,Hoyt Ave,Astoria,NY,Queens County,11102
R381,J016,,J,BMT,40.68617,-73.916337,Broadway,Brooklyn,NY,Kings County,11221
R064,R628,,3,IRT,40.661466,-73.916316,Livonia Ave,Brooklyn,NY,Kings County,11212
R038,R190,,1,IRT,40.869359,-73.915329,10th Ave,New York,NY,New York County,10034
R308,R285,,4,IRT,40.844406,-73.914621,Jerome Ave,Bronx,NY,Bronx County,10452
R447,R404,,6,IRT,40.805737,-73.914471,Cypress Ave,Bronx,NY,Bronx County,10454
R447,R405,,6,IRT,40.805737,-73.914471,Cypress Ave,Bronx,NY,Bronx County,10454
R443,N209,,BD,IND,40.839301,-73.913355,Grand Concourse,Bronx,NY,Bronx County,10452
R443,N208,,BD,IND,40.839301,-73.913355,Grand Concourse,Bronx,NY,Bronx County,10452
R267,N316,,MR,IND,40.756312,-73.913333,Broadway,Astoria,NY,Queens County,11103
R267,N316A,,MR,IND,40.756312,-73.913333,Broadway,Astoria,NY,Queens County,11103
R267,N317,,MR,IND,40.756312,-73.913333,Broadway,Astoria,NY,Queens County,11103
R309,R286,,4,IRT,40.848635,-73.912497,Davidson Ave,Bronx,NY,Bronx County,10453
R327,R521,,7,IRT,40.744103,-73.912497,52nd St,Woodside,NY,Queens County,11377
R095,R515,,NQ,BMT,40.774984,-73.912067,31st St,Astoria,NY,Queens County,11105
R439,N122,,C,IND,40.67836,-73.911939,Fulton St,Brooklyn,NY,Kings County,11233
R439,N123B,,C,IND,40.67836,-73.911939,Fulton St,Brooklyn,NY,Kings County,11233
R137,H026,,LM,BMT,40.699707,-73.91181,Gates Ave,Brooklyn,NY,Kings County,11221
R137,H027,,LM,BMT,40.699707,-73.91181,Gates Ave,Brooklyn,NY,Kings County,11221
R432,J017,,JZ,BMT,40.682867,-73.91048,Broadway,Brooklyn,NY,Kings County,11207
R039,R192,,1,IRT,40.874551,-73.909879,Broadway,New York,NY,New York County,10034
R065,R629,,3,IRT,40.662541,-73.908763,Livonia Ave,Brooklyn,NY,Kings County,11212
R405,R312,,25,IRT,40.816505,-73.907797,Westchester Ave,Bronx,NY,Bronx County,10455
R402,K022,,M,BMT,40.702798,-73.907776,Palmetto St,Ridgewood,NY,Queens County,11385
R244,R287,,4,IRT,40.85339,-73.907733,Jerome Ave,Bronx,NY,Bronx County,10453
R448,R406,,6,IRT,40.808742,-73.90769,Southern Blvd,Bronx,NY,Bronx County,10454
R448,R407,,6,IRT,40.808742,-73.90769,Southern Blvd,Bronx,NY,Bronx County,10454
R298,N318,,MR,IND,40.752898,-73.905973,Broadway,Woodside,NY,Queens County,11377
R298,N319,,MR,IND,40.752898,-73.905973,Broadway,Woodside,NY,Queens County,11377
R313,H033,,L,BMT,40.682558,-73.905501,Aberdeen St,Brooklyn,NY,Kings County,11207
R154,N213,,BD,IND,40.850307,-73.905244,Grand Concourse,Bronx,NY,Bronx County,10453
R154,N214,,BD,IND,40.850307,-73.905244,Grand Concourse,Bronx,NY,Bronx County,10453
R040,R194,,1,IRT,40.878867,-73.904858,Broadway,Bronx,NY,Bronx County,10463
R103,N124,,ACJLZ,IND,40.678848,-73.904139,Conway St,Brooklyn,NY,Kings County,11233
R449,R408,,6,IRT,40.812104,-73.904085,E 149th St,Bronx,NY,Bronx County,10455
R449,R409,,6,IRT,40.812104,-73.904085,E 149th St,Bronx,NY,Bronx County,10455
R266,H028,,L,BMT,40.695607,-73.904021,Wyckoff Ave,Ridgewood,NY,Queens County,11385
R266,H030,,L,BMT,40.695607,-73.904021,Wyckoff Ave,Ridgewood,NY,Queens County,11385
R295,H032,,L,BMT,40.688676,-73.903999,Wilson Ave,Brooklyn,NY,Kings County,11207
R275,R288,,4,IRT,40.858389,-73.903828,Jerome Ave,Bronx,NY,Bronx County,10453
R403,K024,,M,BMT,40.704424,-73.903077,Madison St,Ridgewood,NY,Queens County,11385
R147,R523,,7,IRT,40.745623,-73.902969,Roosevelt Ave,Woodside,NY,Queens County,11377
R348,H035,,L,BMT,40.675496,-73.902819,E New York Ave,Brooklyn,NY,Kings County,11207
R066,R630,,3,IRT,40.663419,-73.902454,Livonia Ave,Brooklyn,NY,Kings County,11212
R349,H037,,L,BMT,40.669376,-73.902047,Van Sinderen Ave,Brooklyn,NY,Kings County,11207
R152,H041,,L,BMT,40.64666,-73.901832,E 99th St,Brooklyn,NY,Kings County,11236
R406,R314,,25,IRT,40.819396,-73.901467,Longwood Ave,Bronx,NY,Bronx County,10459
R406,R315,,25,IRT,40.819396,-73.901467,Longwood Ave,Bronx,NY,Bronx County,10459
R119,R289,,4,IRT,40.862941,-73.901199,W Fordham Rd,Bronx,NY,Bronx County,10468
R112,N217,,BD,IND,40.862803,-73.901034,Jerome Ave,Bronx,NY,Bronx County,10468
R112,N218,,BD,IND,40.862803,-73.901034,Jerome Ave,Bronx,NY,Bronx County,10468
R306,R196,,1,IRT,40.884821,-73.900759,Broadway,Bronx,NY,Bronx County,10463
R237,N215,,BD,IND,40.856085,-73.900695,Grand Concourse,Bronx,NY,Bronx County,10453
R350,H038,,L,BMT,40.663801,-73.900444,Livonia Ave,Brooklyn,NY,Kings County,11207
R376,H040,,L,BMT,40.650625,-73.899558,Turnbull Ave,Brooklyn,NY,Kings County,11236
R375,H039,,L,BMT,40.658748,-73.899472,New Lots Ave,Brooklyn,NY,Kings County,11212
R433,J020,,J,BMT,40.677107,-73.898871,Fulton St,Brooklyn,NY,Kings County,11207
R117,R197,,1,IRT,40.889185,-73.898549,Broadway,Bronx,NY,Bronx County,10463
R340,N322,,MR,IND,40.749663,-73.898485,64th St,Woodside,NY,Queens County,11377
R161,R290,,4,IRT,40.867899,-73.897326,Jerome Ave,Bronx,NY,Bronx County,10468
R407,R316,,25,IRT,40.822172,-73.896747,Westchester Ave,Bronx,NY,Bronx County,10459
R440,N125,,C,IND,40.674552,-73.896554,Pennsylvania Ave,Brooklyn,NY,Kings County,11207
R347,R524,,7,IRT,40.746325,-73.896403,Roosevelt Ave,Woodside,NY,Queens County,11377
R450,R410,,6,IRT,40.816083,-73.89606,Longwood Ave,Bronx,NY,Bronx County,10459
R450,R411,,6,IRT,40.816083,-73.89606,Longwood Ave,Bronx,NY,Bronx County,10459
R404,K025,,M,BMT,40.706181,-73.89591,67th Ave,Ridgewood,NY,Queens County,11385
R067,R632,,3,IRT,40.664884,-73.894258,Livonia Ave,Brooklyn,NY,Kings County,11207
R155,N221,,BD,IND,40.866974,-73.893485,Grand Concourse,Bronx,NY,Bronx County,10458
R155,N220,,BD,IND,40.866974,-73.893485,Grand Concourse,Bronx,NY,Bronx County,10458
R408,R318,,25,IRT,40.82417,-73.893228,E 165th St,Bronx,NY,Bronx County,10459
R408,R317,,25,IRT,40.82417,-73.893228,E 165th St,Bronx,NY,Bronx County,10459
R409,R320,,25,IRT,40.829966,-73.891876,Southern Blvd,Bronx,NY,Bronx County,10459
R409,R319,,25,IRT,40.829966,-73.891876,Southern Blvd,Bronx,NY,Bronx County,10459
R434,J021,,JZ,BMT,40.678018,-73.891726,Fulton St,Brooklyn,NY,Kings County,11207
R018,N324,,EFMR7,IND,40.746655,-73.891361,74th St,Elmhurst,NY,Queens County,11373
R018,N323,,EFMR7,IND,40.746655,-73.891361,74th St,Elmhurst,NY,Queens County,11373
R018,R525,,EFMR7,IRT,40.746655,-73.891361,74th St,Elmhurst,NY,Queens County,11373
R146,R412,,6,IRT,40.820889,-73.890567,E 163rd St,Bronx,NY,Bronx County,10459
R441,N126,,C,IND,40.672786,-73.890438,Pitkin Ave,Brooklyn,NY,Kings County,11207
R183,R291,,4,IRT,40.873399,-73.890084,Jerome Ave,Bronx,NY,Bronx County,10468
R100,K026,,M,BMT,40.711353,-73.88958,Metropolitan Ave,Middle Village,NY,Queens County,11379
R068,R633,,3,IRT,40.665405,-73.889451,Livonia Ave,Brooklyn,NY,Kings County,11207
R386,R322,,25,IRT,40.837382,-73.887659,E 174th St,Bronx,NY,Bronx County,10460
R386,R321,,25,IRT,40.837382,-73.887659,E 174th St,Bronx,NY,Bronx County,10460
R156,N222,,BD,IND,40.873026,-73.886919,Grand Concourse,Bronx,NY,Bronx County,10458
R156,N223,,BD,IND,40.873026,-73.886919,Grand Concourse,Bronx,NY,Bronx County,10458
R325,R413,,6,IRT,40.826508,-73.886425,Whitlock Ave,Bronx,NY,Bronx County,10459
R435,J022,,J,BMT,40.679938,-73.884687,Fulton St,Brooklyn,NY,Kings County,11208
R133,R293,,4,IRT,40.87963,-73.884666,Jerome Ave,Bronx,NY,Bronx County,10468
R069,R634,,3,IRT,40.666252,-73.884087,Livonia Ave,Brooklyn,NY,Kings County,11207
R096,R526,,7,IRT,40.747647,-73.883786,Roosevelt Ave,Jackson Heights,NY,Queens County,11372
R218,N325A,,MR,IND,40.742445,-73.882005,Broadway,Elmhurst,NY,Queens County,11373
R442,N127,,C,IND,40.674161,-73.880761,Pitkin Ave,Brooklyn,NY,Kings County,11208
R436,J023,,JZ,BMT,40.681598,-73.880074,Arlington Ave,Brooklyn,NY,Kings County,11208
R387,R323,,25,IRT,40.840097,-73.879774,E Tremont Ave,Bronx,NY,Bronx County,10460
R387,R323A,,25,IRT,40.840097,-73.879774,E Tremont Ave,Bronx,NY,Bronx County,10460
R162,R414,,6,IRT,40.828894,-73.879559,Elder Ave,Bronx,NY,Bronx County,10472
R157,N224,,D,IND,40.874827,-73.878872,E 206th St,Bronx,NY,Bronx County,10467
R157,N225,,D,IND,40.874827,-73.878872,E 206th St,Bronx,NY,Bronx County,10467
R052,R294,,4,IRT,40.885973,-73.878851,Jerome Ave,Bronx,NY,Bronx County,10467
R254,N327,,MR,IND,40.736998,-73.877242,Broadway,Elmhurst,NY,Queens County,11373
R122,R527,,7,IRT,40.748541,-73.876791,Roosevelt Ave,Jackson Heights,NY,Queens County,11372
R120,R415,,6,IRT,40.829495,-73.874559,Morrison Ave,Bronx,NY,Bronx County,10472
R437,J024,,JZ,BMT,40.683209,-73.873765,Fulton St,Brooklyn,NY,Kings County,11208
R388,R325,,25,IRT,40.841882,-73.873551,E 180th St,Bronx,NY,Bronx County,10460
R003,J025,,J,BMT,40.689945,-73.872564,Jamaica Ave,Brooklyn,NY,Kings County,11208
R200,N128,,AC,IND,40.675382,-73.87207,Pitkin Ave,Brooklyn,NY,Kings County,11208
R538,LGA01,,7,IRT,40.774702,-73.871189,Ditmars Blvd,East Elmhurst,NY,Queens County,11369
R097,R528,,7,IRT,40.749143,-73.869452,Roosevelt Ave,Jackson Heights,NY,Queens County,11372
R201,N329,,MR,IND,40.73308,-73.869259,Queens Blvd,Rego Park,NY,Queens County,11374
R201,N329A,,MR,IND,40.73308,-73.869259,Queens Blvd,Rego Park,NY,Queens County,11374
R389,R326,,25,IRT,40.848797,-73.868465,Sagamore St,Bronx,NY,Bronx County,10462
R245,R416,,6,IRT,40.8315,-73.867623,Westchester Ave,Bronx,NY,Bronx County,10472
R361,R328,,25,IRT,40.857188,-73.867607,Pelham Pkwy S,Bronx,NY,Bronx County,10462
R361,R327,,25,IRT,40.857188,-73.867607,Pelham Pkwy S,Bronx,NY,Bronx County,10462
R362,R329,,25,IRT,40.865481,-73.867393,White Plains Rd,Bronx,NY,Bronx County,10467
R004,J028,,JZ,BMT,40.69132,-73.867135,Jamaica Ave,Woodhaven,NY,Queens County,11421
R363,R330,,25,IRT,40.871387,-73.867135,White Plains Rd,Bronx,NY,Bronx County,10467
R226,R728,,5,IRT,40.877796,-73.866341,White Plains Rd,Bronx,NY,Bronx County,10467
R364,R331,,25,IRT,40.877796,-73.866255,White Plains Rd,Bronx,NY,Bronx County,10467
R382,N129,,A,IND,40.677107,-73.865376,Grant Ave,Brooklyn,NY,Kings County,11208
R365,R332,,25,IRT,40.883767,-73.862736,White Plains Rd,Bronx,NY,Bronx County,10467
R208,R529,,7,IRT,40.749858,-73.862672,Roosevelt Ave,Corona,NY,Queens County,11368
R202,N330B,,MR,IND,40.729869,-73.86161,Queens Blvd,Rego Park,NY,Queens County,11374
R202,N330C,,MR,IND,40.729869,-73.86161,Queens Blvd,Rego Park,NY,Queens County,11374
R329,R726,,5,IRT,40.854137,-73.860977,Colden Ave,Bronx,NY,Bronx County,10462
R222,R417,,6,IRT,40.833246,-73.860805,Hugh J Grant Cir,Bronx,NY,Bronx County,10462
R366,R333,,25,IRT,40.887887,-73.860505,E 225th St,Bronx,NY,Bronx County,10466
R005,J030,,J,BMT,40.692304,-73.860151,Jamaica Ave,Woodhaven,NY,Queens County,11421
R383,N131,,A,IND,40.679369,-73.85896,Liberty Ave,Ozone Park,NY,Queens County,11417
R383,N130,,A,IND,40.679369,-73.85896,Liberty Ave,Ozone Park,NY,Queens County,11417
R367,R334,,25,IRT,40.893386,-73.857265,E 233rd St,Bronx,NY,Bronx County,10466
R430,R727,,5,IRT,40.858973,-73.855355,Esplanade Ave,Bronx,NY,Bronx County,10469
R310,R530,,7,IRT,40.75176,-73.855183,Roosevelt Ave,Corona,NY,Queens County,11368
R444,R335,,25,IRT,40.898382,-73.854389,White Plains Rd,Bronx,NY,Bronx County,10466
R219,N331,,MR,IND,40.726462,-73.85263,Queens Blvd,Forest Hills,NY,Queens County,11375
R219,N332,,MR,IND,40.726462,-73.85263,Queens Blvd,Forest Hills,NY,Queens County,11375
R006,J031,,JZ,BMT,40.693866,-73.851568,Jamaica Ave,Woodhaven,NY,Queens County,11421
R006,J032,,JZ,BMT,40.693866,-73.851568,Jamaica Ave,Woodhaven,NY,Queens County,11421
R384,N133,,A,IND,40.679857,-73.851492,Liberty Ave,Ozone Park,NY,Queens County,11417
R106,R418,,6,IRT,40.834255,-73.851222,Westchester Ave,Bronx,NY,Bronx County,10462
R145,R336,,2,IRT,40.903085,-73.850591,White Plains Rd,Bronx,NY,Bronx County,10470
R326,R419,,6,IRT,40.83646,-73.846471,Zerega Ave,Bronx,NY,Bronx County,10462
R328,R532,,7,IRT,40.754622,-73.845625,126th St,Corona,NY,Queens County,11368
R328,R532G,,7,IRT,40.754622,-73.845625,126th St,Corona,NY,Queens County,11368
R328,R532H,,7,IRT,40.754622,-73.845625,126th St,Corona,NY,Queens County,11368
R141,N333A,,EFMR,IND,40.721681,-73.84439,Queens Blvd,Forest Hills,NY,Queens County,11375
R141,N333,,EFMR,IND,40.721681,-73.84439,Queens Blvd,Forest Hills,NY,Queens County,11375
R141,N333B,,EFMR,IND,40.721681,-73.84439,Queens Blvd,Forest Hills,NY,Queens County,11375
R007,J034,,JZ,BMT,40.695184,-73.844326,Jamaica Ave,Richmond Hill,NY,Queens County,11418
R385,N134,,A,IND,40.680429,-73.843853,Liberty Ave,Ozone Park,NY,Queens County,11417
R385,N135,,A,IND,40.680429,-73.843853,Liberty Ave,Ozone Park,NY,Queens County,11417
R107,R420,,6,IRT,40.839892,-73.842952,Lane Ave,Bronx,NY,Bronx County,10461
R292,R729,,5,IRT,40.878656,-73.838596,Edson Ave,Bronx,NY,Bronx County,10469
R354,N137,,A,IND,40.681745,-73.837631,Liberty Ave,Ozone Park,NY,Queens County,11417
R419,N187,,AS,IND,40.580454,-73.837459,Beach 116th St,Rockaway Park,NY,Queens County,11694
R341,N334B,,EF,IND,40.718477,-73.837223,Queens Blvd,Forest Hills,NY,Queens County,11375
R427,R421,,6,IRT,40.843635,-73.836687,Westchester Ave,Bronx,NY,Bronx County,10461
R008,J035,,J,BMT,40.697405,-73.836354,Jamaica Ave,Richmond Hill,NY,Queens County,11418
R357,N181,,A,IND,40.668234,-73.834058,Cohancy St,Howard Beach,NY,Queens County,11414
R464,N181A,,A,IND,40.668221,-73.834026,Cohancy St,Howard Beach,NY,Queens County,11414
R428,R422,,6,IRT,40.846817,-73.832545,Westchester Ave,Bronx,NY,Bronx County,10461
R355,N139,,A,IND,40.684364,-73.832181,Liberty Ave,South Richmond Hill,NY,Queens County,11419
R355,N138,,A,IND,40.684364,-73.832181,Liberty Ave,South Richmond Hill,NY,Queens County,11419
R158,N336,,EF,IND,40.714444,-73.830979,Queens Blvd,Forest Hills,NY,Queens County,11375
R158,N335,,EF,IND,40.714444,-73.830979,Queens Blvd,Forest Hills,NY,Queens County,11375
R431,R730,,5,IRT,40.888244,-73.83085,Light St,Bronx,NY,Bronx County,10466
R414,N182,,A,IND,40.660476,-73.830301,Coleman Sq,Howard Beach,NY,Queens County,11414
R414,N182A,,A,IND,40.660476,-73.830301,Coleman Sq,Howard Beach,NY,Queens County,11414
R535,JFK01,,A,IND,40.660476,-73.830301,Coleman Sq,Howard Beach,NY,Queens County,11414
